IdLugarSalida,Lugar Salida,IdTranspSalidad,Transporte Internacional de Salida,FechaSalida,IdFecSalida,FechaEntrada,IdFecEntrada,IdNacionalidad,Pais,IdDeptoResidencia,Departamento,IdMotivo,Motivo,IdOcupacion,Ocupacion,IdNivelEstudio,Estudio,IdDestino,Destino,IdAlojamiento,Alojamiento,IdLugarIngreso,Lugar Ingreso,IdTranspIngreso,Transporte Internacional de Ingreso,IdTranspLocal,Trasporte Local,Estadia,Gente,GastoTotal,GastoAlojamiento,GastoAlimentacion,GastoTransporteInternac,GatoTransporteLocal,GastoCultural,GastoTours,GastoCompras,GastoResto,Coef,CoefTot
7,Fray Bentos,3,Terrestre Bus,2025-04-29,16555,2025-05-04,16560,1,Uruguay,20,Canelones,2,Visita familiares / amigos,24,Trabajador Independiente,,,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,3,Taxi - Bus,5,2,527.81,0.0,239.91,184.25,0.0,0.0,0.0,130.57,157.32,116.44,232.88
8,Paysandú,2,Terrestre Auto,2023-02-21,15757,2023-02-27,15763,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",12,"Director, gerente",6.0,Terciaria completa,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,1,Auto propio,6,4,2733.8,650.69,610.07,0.0,726.76,264.97,0.0,481.31,0.0,406.25,1625.01
3,Aeropuerto de Carrasco,1,Aereo,2024-06-01,16223,2024-06-05,16227,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,1,"Jubilado, Pensionista",,,30,Paraguay,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,4,Auto familiares / amigos,4,2,1200.0,0.0,400.0,350.0,0.0,142.52,0.0,340.79,316.7,205.14,410.28
8,Paysandú,2,Terrestre Auto,2022-12-29,15703,2023-01-03,15708,1,Uruguay,61,Paysandu,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,1,Auto propio,5,3,600.0,260.0,68.87,0.0,82.29,50.0,0.0,50.0,88.84,79.35,78.43
3,Aeropuerto de Carrasco,1,Aereo,2023-09-09,15957,2023-09-19,15967,1,Uruguay,11,Saqn Jose,2,Visita familiares / amigos,13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,40,Europa,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,10,2,2081.33,0.0,606.87,1953.27,297.99,0.0,0.0,840.65,335.82,225.42,450.83
3,Aeropuerto de Carrasco,1,Aereo,2017-09-29,13786,2017-10-12,13799,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,2,Auto alquilado,13,2,3667.45,1974.38,364.95,4575.0,950.63,0.0,0.0,377.5,0.0,106.1,212.2
3,Aeropuerto de Carrasco,1,Aereo,2019-07-17,14442,2019-07-19,14444,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,11,"Patron, Com, Ind, Prod Agrop",5.0,Terciaria incompleta,20,Brasil,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,2,1,150.0,92.33,48.2,350.0,9.47,0.0,0.0,0.0,0.0,185.45,185.45
13,Rivera,2,Terrestre Auto,2019-07-26,14451,2019-07-29,14454,1,Uruguay,53,Rivera,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,20,Brasil,1,Hotel,13,Rivera,2,Terrestre Auto,1,Auto propio,3,2,1200.0,444.38,231.98,0.0,45.59,0.0,0.0,432.39,45.66,58.44,116.88
16,Bella Unión,2,Terrestre Auto,2024-01-30,16100,2024-02-03,16104,1,Uruguay,61,Paysandu,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",,,20,Brasil,1,Hotel,16,Bella Unión,2,Terrestre Auto,1,Auto propio,4,3,306.75,93.86,70.12,0.0,22.35,0.0,0.0,104.58,15.85,277.22,831.67
13,Rivera,2,Terrestre Auto,2018-08-03,14094,2018-08-08,14099,1,Uruguay,43,Tacuarembo,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",5.0,Terciaria incompleta,20,Brasil,1,Hotel,13,Rivera,2,Terrestre Auto,1,Auto propio,5,4,2553.79,1086.85,539.82,0.0,249.45,0.0,0.0,590.08,87.59,70.56,282.24
18,Río Branco,2,Terrestre Auto,2018-09-06,14128,2018-09-11,14133,1,Uruguay,30,Lavalleja,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,20,Brasil,1,Hotel,18,Río Branco,2,Terrestre Auto,1,Auto propio,5,3,1207.66,508.26,260.38,0.0,110.03,0.0,0.0,290.08,38.91,276.52,829.57
10,Salto,2,Terrestre Auto,2024-07-19,16271,2024-07-26,16278,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,20,Brasil,1,Hotel,16,Bella Unión,2,Terrestre Auto,1,Auto propio,7,4,1250.0,600.0,250.0,0.0,57.47,162.64,0.0,137.83,42.06,253.88,1015.53
3,Aeropuerto de Carrasco,1,Aereo,2017-03-15,13588,2017-03-30,13603,1,Uruguay,31,Maldonado,3,Trabajo / Profesion,11,"Patron, Com, Ind, Prod Agrop",5.0,Terciaria incompleta,31,Chile,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,15,1,1500.0,537.33,398.67,330.0,0.0,200.0,0.0,0.0,364.0,116.24,116.24
3,Aeropuerto de Carrasco,1,Aereo,2018-09-08,14130,2018-09-14,14136,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,31,Chile,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,6,4,1982.83,614.72,182.14,717.6,65.54,0.0,120.0,1000.43,0.0,215.64,862.55
1,Colonia,5,Maritimo - Fluvial,2018-03-23,13961,2018-03-27,13965,1,Uruguay,20,Canelones,2,Visita familiares / amigos,11,"Patron, Com, Ind, Prod Agrop",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,4,3,352.21,0.0,174.29,193.72,0.0,0.0,0.0,177.92,0.0,262.36,787.08
7,Fray Bentos,3,Terrestre Bus,2024-03-16,16146,2024-03-25,16155,1,Uruguay,20,Canelones,2,Visita familiares / amigos,1,"Jubilado, Pensionista",,,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,4,Auto familiares / amigos,9,1,507.34,0.0,171.72,73.56,0.0,49.39,0.0,88.14,198.09,297.73,297.73
8,Paysandú,2,Terrestre Auto,2023-11-11,16020,2023-11-16,16025,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,2,Appart Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,5,4,834.3,316.02,252.82,0.0,25.28,63.2,0.0,151.69,25.28,394.5,1578.0
8,Paysandú,3,Terrestre Bus,2017-10-23,13810,2017-10-25,13812,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,12,"Director, gerente",4.0,Secundaria completa,10,Argentina,1,Hotel,8,Paysandú,3,Terrestre Bus,3,Taxi - Bus,2,1,359.79,81.5,48.74,8.53,32.05,0.0,0.0,101.68,95.82,206.18,206.18
1,Colonia,5,Maritimo - Fluvial,2019-05-29,14393,2019-06-03,14398,1,Uruguay,10,Colonia,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,3,Taxi - Bus,5,1,830.09,202.52,114.21,122.73,193.03,0.0,0.0,107.85,212.47,267.37,267.37
1,Colonia,5,Maritimo - Fluvial,2022-09-23,15606,2022-09-27,15610,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,6,Otros,4,3,1530.4,319.2,297.07,362.1,370.32,197.05,0.0,346.77,0.0,624.26,1872.79
8,Paysandú,2,Terrestre Auto,2023-05-09,15834,2023-05-10,15835,1,Uruguay,61,Paysandu,2,Visita familiares / amigos,15,"Obrero esp, Conductor, Artesano",2.0,Primaria completa,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,1,3,223.87,0.0,51.47,0.0,38.6,0.0,0.0,128.66,5.15,493.31,1479.93
10,Salto,2,Terrestre Auto,2017-07-07,13702,2017-07-10,13705,1,Uruguay,51,Artigas,2,Visita familiares / amigos,9,Desconocido / Sin Datos,7.0,Otros,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,0,Sin Datos,3,1,250.0,0.0,80.0,0.0,35.68,61.62,0.0,50.0,22.7,131.33,131.33
7,Fray Bentos,3,Terrestre Bus,2017-10-30,13817,2017-11-05,13823,1,Uruguay,13,Soriano,2,Visita familiares / amigos,4,Rentista,2.0,Primaria completa,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,3,Terrestre Bus,4,Auto familiares / amigos,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.75,209.75
3,Aeropuerto de Carrasco,1,Aereo,2022-05-05,15465,2022-05-13,15473,1,Uruguay,31,Maldonado,7,Otros,13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,32,Resto Sud America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,8,2,3000.0,1500.0,1000.0,2000.0,500.0,0.0,0.0,0.0,0.0,305.49,610.98
8,Paysandú,2,Terrestre Auto,2023-02-16,15752,2023-02-22,15758,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",15,"Obrero esp, Conductor, Artesano",3.0,Secundaria incompleta,10,Argentina,5,Vivienda Arrendada,8,Paysandú,2,Terrestre Auto,1,Auto propio,6,8,768.68,142.45,133.56,0.0,159.1,58.01,0.0,105.37,170.2,406.25,3250.02
7,Fray Bentos,2,Terrestre Auto,2023-10-16,15994,2023-10-21,15999,1,Uruguay,11,Saqn Jose,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",3.0,Secundaria incompleta,10,Argentina,1,Hotel,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,5,2,700.0,260.0,62.63,0.0,69.48,32.42,0.0,200.0,75.47,578.17,1156.35
7,Fray Bentos,3,Terrestre Bus,2019-08-06,14462,2019-08-12,14468,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,15,"Obrero esp, Conductor, Artesano",3.0,Secundaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,3,Taxi - Bus,6,1,630.11,0.0,162.09,65.22,261.47,80.5,0.0,126.05,0.0,118.99,118.99
4,Chuy,2,Terrestre Auto,2018-03-21,13959,2018-03-26,13964,1,Uruguay,32,Rocha,1,"Ocio, Recreo, Vacaciones",15,"Obrero esp, Conductor, Artesano",3.0,Secundaria incompleta,20,Brasil,6,Vivienda Familiares / Amigos,4,Chuy,2,Terrestre Auto,1,Auto propio,5,4,352.21,0.0,140.88,0.0,70.44,0.0,0.0,140.88,0.0,112.77,451.09
3,Aeropuerto de Carrasco,1,Aereo,2024-09-17,16331,2024-09-27,16341,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",,,32,Resto Sud America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,2,Auto alquilado,10,3,2970.44,1448.84,1209.47,2029.56,312.13,0.0,0.0,0.0,0.0,320.14,960.42
1,Colonia,5,Maritimo - Fluvial,2018-12-23,14236,2018-12-26,14239,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",6.0,Terciaria completa,10,Argentina,1,Hotel,2,Puerto de montevideo,5,Maritimo - Fluvial,3,Taxi - Bus,3,2,503.69,233.33,61.11,350.0,55.56,88.03,0.0,65.66,0.0,303.38,606.76
7,Fray Bentos,3,Terrestre Bus,2024-07-26,16278,2024-07-29,16281,1,Uruguay,20,Canelones,2,Visita familiares / amigos,27,Profesional dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,3,Taxi - Bus,3,3,930.22,0.0,161.84,311.24,37.35,99.6,0.0,351.88,279.55,304.72,914.15
10,Salto,2,Terrestre Auto,2024-12-23,16428,2024-12-28,16433,1,Uruguay,42,Florida,1,"Ocio, Recreo, Vacaciones",26,Profesional independiente,,,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,1,Auto propio,5,3,500.0,0.0,197.03,0.0,200.97,102.0,0.0,0.0,0.0,201.71,605.12
3,Aeropuerto de Carrasco,1,Aereo,2023-01-10,15715,2023-01-18,15723,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,20,Brasil,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,8,2,1200.0,451.4,382.02,0.0,105.27,0.0,171.24,0.0,90.08,91.58,102.29
7,Fray Bentos,3,Terrestre Bus,2024-09-08,16322,2024-09-11,16325,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",27,Profesional dependiente,,,10,Argentina,1,Hotel,7,Fray Bentos,3,Terrestre Bus,3,Taxi - Bus,3,4,1201.51,286.0,200.0,180.0,155.37,131.44,0.0,250.0,178.69,315.64,1262.58
10,Salto,2,Terrestre Auto,2018-04-06,13975,2018-04-08,13977,1,Uruguay,51,Artigas,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,2,2,508.87,106.01,84.81,0.0,106.01,70.68,0.0,141.35,0.0,130.38,260.77
1,Colonia,5,Maritimo - Fluvial,2019-08-28,14484,2019-09-03,14490,1,Uruguay,10,Colonia,2,Visita familiares / amigos,15,"Obrero esp, Conductor, Artesano",2.0,Primaria completa,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,6,2,892.2,0.0,274.42,242.97,404.96,0.0,0.0,212.82,0.0,308.05,616.09
3,Aeropuerto de Carrasco,1,Aereo,2017-07-13,13708,2017-07-17,13712,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,3,Estudiante,5.0,Terciaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,4,2,300.0,0.0,155.93,0.0,0.0,96.61,0.0,0.0,47.46,106.2,212.39
3,Aeropuerto de Carrasco,1,Aereo,2019-04-30,14364,2019-05-05,14369,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,20,Brasil,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,5,3,2000.0,0.0,487.33,1359.87,101.31,841.17,0.0,570.19,0.0,231.95,695.84
7,Fray Bentos,2,Terrestre Auto,2019-05-17,14381,2019-05-23,14387,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,11,"Patron, Com, Ind, Prod Agrop",7.0,Otros,10,Argentina,1,Hotel,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,6,2,1400.0,700.0,400.0,0.0,76.14,0.0,0.0,140.0,83.86,129.47,258.93
1,Colonia,5,Maritimo - Fluvial,2017-07-28,13723,2017-08-02,13728,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",7.0,Otros,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,0,Sin Datos,5,2,802.0,216.0,230.0,144.0,120.0,100.0,0.0,116.0,20.0,163.5,327.0
7,Fray Bentos,3,Terrestre Bus,2017-05-05,13639,2017-05-09,13643,1,Uruguay,20,Canelones,2,Visita familiares / amigos,1,"Jubilado, Pensionista",6.0,Terciaria completa,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,0,Sin Datos,4,2,159.13,0.0,48.8,0.0,19.1,0.0,0.0,0.0,91.23,81.96,163.92
10,Salto,2,Terrestre Auto,2024-06-12,16234,2024-06-17,16239,1,Uruguay,53,Rivera,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,10,Argentina,2,Appart Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,5,4,891.31,356.52,305.59,0.0,25.47,101.86,0.0,45.73,56.14,228.14,912.57
4,Chuy,3,Terrestre Bus,2017-06-06,13671,2017-06-16,13681,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,20,Brasil,1,Hotel,4,Chuy,3,Terrestre Bus,0,Sin Datos,10,2,708.0,546.17,161.83,492.0,0.0,0.0,0.0,0.0,0.0,62.31,124.62
2,Puerto de montevideo,5,Maritimo - Fluvial,2024-08-15,16298,2024-08-19,16302,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,10,Argentina,1,Hotel,2,Puerto de montevideo,5,Maritimo - Fluvial,4,Auto familiares / amigos,4,2,1400.0,200.0,476.6,200.0,15.0,308.4,0.0,400.0,0.0,96.15,192.3
1,Colonia,5,Maritimo - Fluvial,2024-06-12,16234,2024-06-14,16236,1,Uruguay,10,Colonia,2,Visita familiares / amigos,24,Trabajador Independiente,,,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,2,1,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,127.13,127.13
2,Puerto de montevideo,5,Maritimo - Fluvial,2025-01-12,16448,2025-01-15,16451,10,Argentina,21,Montevideo,3,Trabajo / Profesion,25,Trabajador dependiente,,,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,5,Ninguno,3,1,100.0,52.47,47.53,0.0,0.0,0.0,0.0,0.0,0.0,981.19,981.19
10,Salto,2,Terrestre Auto,2018-04-22,13991,2018-04-25,13994,1,Uruguay,60,Salto,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",3.0,Secundaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,1,Auto propio,3,2,250.0,0.0,72.37,0.0,34.27,0.0,0.0,143.36,0.0,130.38,260.77
13,Rivera,2,Terrestre Auto,2018-03-23,13961,2018-04-02,13971,1,Uruguay,53,Rivera,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,20,Brasil,5,Vivienda Arrendada,13,Rivera,2,Terrestre Auto,1,Auto propio,10,6,1450.0,700.0,500.0,0.0,150.0,0.0,0.0,50.0,50.0,91.88,551.28
3,Aeropuerto de Carrasco,1,Aereo,2022-12-20,15694,2023-01-03,15708,1,Uruguay,20,Canelones,2,Visita familiares / amigos,11,"Patron, Com, Ind, Prod Agrop",5.0,Terciaria incompleta,20,Brasil,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,2,Auto alquilado,16,2,1200.0,0.0,727.97,0.0,200.59,0.0,0.0,271.44,0.0,91.58,102.29
7,Fray Bentos,2,Terrestre Auto,2019-10-27,14544,2019-10-30,14547,1,Uruguay,11,Saqn Jose,8,Deportivo,20,"Deportista, Entrenador, Juez Dep",4.0,Secundaria completa,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,1,Auto propio,3,3,500.0,176.38,150.0,0.0,40.0,0.0,0.0,0.0,133.62,294.69,884.06
7,Fray Bentos,2,Terrestre Auto,2023-08-23,15940,2023-08-27,15944,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,5,Vivienda Arrendada,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,4,4,1000.0,244.72,230.48,0.0,258.62,0.0,0.0,266.18,0.0,278.63,1114.53
2,Puerto de montevideo,5,Maritimo - Fluvial,2025-09-17,16696,2025-09-19,16698,1,Uruguay,21,Montevideo,12,MICE,25,Trabajador dependiente,,,10,Argentina,1,Hotel,2,Puerto de montevideo,5,Maritimo - Fluvial,3,Taxi - Bus,2,1,159.37,58.54,50.78,0.0,50.05,0.0,0.0,0.0,0.0,302.21,302.21
3,Aeropuerto de Carrasco,1,Aereo,2017-10-21,13808,2017-10-27,13814,1,Uruguay,42,Florida,1,"Ocio, Recreo, Vacaciones",1,"Jubilado, Pensionista",4.0,Secundaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,6,2,1216.0,683.03,202.38,1464.0,50.59,0.0,0.0,280.0,0.0,106.1,212.2
3,Aeropuerto de Carrasco,1,Aereo,2019-04-11,14345,2019-04-18,14352,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,20,Brasil,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,7,3,1947.98,1336.5,238.86,1815.0,99.0,0.0,0.0,224.13,49.5,234.17,702.52
5,Carmelo,5,Maritimo - Fluvial,2023-12-15,16054,2023-12-20,16059,1,Uruguay,10,Colonia,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,5,Carmelo,5,Maritimo - Fluvial,3,Taxi - Bus,5,2,1404.95,320.0,253.91,150.0,280.24,50.0,0.0,200.0,300.8,5.49,10.97
3,Aeropuerto de Carrasco,1,Aereo,2019-03-22,14325,2019-04-05,14339,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,33,Centro y Norte America,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,4,Auto familiares / amigos,14,1,2000.0,0.0,612.03,850.0,0.0,587.97,0.0,800.0,0.0,234.17,234.17
10,Salto,2,Terrestre Auto,2017-09-03,13760,2017-09-05,13762,1,Uruguay,60,Salto,3,Trabajo / Profesion,13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,0,Sin Datos,2,2,243.6,72.52,42.77,0.0,20.46,0.0,0.0,81.82,26.03,246.3,492.6
